Sample	Gender	Pop	Sub.pop
HG00171	female	EUR	FIN
HG00176	female	EUR	FIN
HG00183	male	EUR	FIN
HG00188	male	EUR	FIN
HG00190	male	EUR	FIN
HG00234	male	EUR	GBR
HG00239	female	EUR	GBR
HG00121	female	EUR	GBR
HG00126	male	EUR	GBR
HG00133	female	EUR	GBR
HG00138	male	EUR	GBR
HG00102	female	EUR	GBR
HG00107	male	EUR	GBR
HG00114	male	EUR	GBR
HG00119	male	EUR	GBR
HG00246	male	EUR	GBR
HG00253	female	EUR	GBR
HG00258	female	EUR	GBR
HG00260	male	EUR	GBR
HG00140	male	EUR	GBR
HG00145	male	EUR	GBR
HG00152	male	EUR	GBR
HG00157	male	EUR	GBR
HG00099	female	EUR	GBR
HG00479	female	EAS	CHS
HG00501	female	EAS	CHS
HG00513	female	EAS	CHS
HG00178	female	EUR	FIN
HG00525	female	EAS	CHS
HG00180	female	EUR	FIN
HG00532	male	EAS	CHS
HG00185	male	EUR	FIN
HG00537	female	EAS	CHS
HG00231	female	EUR	GBR
HG00366	male	EUR	FIN
HG00236	female	EUR	GBR
HG00373	female	EUR	FIN
HG00243	male	EUR	GBR
HG00378	female	EUR	FIN
HG00128	female	EUR	GBR
HG00380	female	EUR	FIN
HG00130	female	EUR	GBR
HG00405	female	EAS	CHS
HG00135	female	EUR	GBR
HG00544	female	EAS	CHS
HG00142	male	EUR	GBR
HG00551	female	AMR	PUR
HG00147	female	EUR	GBR
HG00556	male	EAS	CHS
HG00154	female	EUR	GBR
HG00582	female	EAS	CHS
HG00159	male	EUR	GBR
HG00304	female	EUR	FIN
HG00173	female	EUR	FIN
HG00309	female	EUR	FIN
HG00104	female	EUR	GBR
HG00311	male	EUR	FIN
HG00109	male	EUR	GBR
HG00323	female	EUR	FIN
HG00111	female	EUR	GBR
HG00328	female	EUR	FIN
HG00116	male	EUR	GBR
HG00330	female	EUR	FIN
HG00123	female	EUR	GBR
HG00429	male	EAS	CHS
HG00248	female	EUR	GBR
HG00436	male	EAS	CHS
HG00250	female	EUR	GBR
HG00443	female	EAS	CHS
HG00255	female	EUR	GBR
HG00448	male	EAS	CHS
HG00262	female	EUR	GBR
HG00450	female	EAS	CHS
HG00096	male	EUR	GBR
HG00474	male	EAS	CHS
HG00265	male	EUR	GBR
HG00272	female	EUR	FIN
HG00277	male	EUR	FIN
HG00284	male	EUR	FIN
HG00103	male	EUR	GBR
HG00553	male	AMR	PUR
HG00335	male	EUR	FIN
HG00108	male	EUR	GBR
HG00558	female	EAS	CHS
HG00342	male	EUR	FIN
HG00110	female	EUR	GBR
HG00560	female	EAS	CHS
HG00359	female	EUR	FIN
HG00115	male	EUR	GBR
HG00565	male	EAS	CHS
HG00361	female	EUR	FIN
HG00577	male	EAS	CHS
HG00594	male	EAS	CHS
HG00584	female	EAS	CHS
HG00599	female	EAS	CHS
HG00419	female	EAS	CHS
HG00607	male	EAS	CHS
HG00421	male	EAS	CHS
HG00638	female	AMR	PUR
HG00438	female	EAS	CHS
HG00640	male	AMR	PUR
HG00445	male	EAS	CHS
HG00652	female	EAS	CHS
HG00452	female	EAS	CHS
HG00657	female	EAS	CHS
HG00457	male	EAS	CHS
HG00664	male	EAS	CHS
HG00464	female	EAS	CHS
HG00671	male	EAS	CHS
HG00476	female	EAS	CHS
HG00614	female	EAS	CHS
HG00589	male	EAS	CHS
HG00619	male	EAS	CHS
HG00591	male	EAS	CHS
HG00621	male	EAS	CHS
HG00596	female	EAS	CHS
HG00626	female	EAS	CHS
HG00609	male	EAS	CHS
HG00633	male	EAS	CHS
HG00611	female	EAS	CHS
HG00676	male	EAS	CHS
HG00368	female	EUR	FIN
HG00683	male	EAS	CHS
HG00158	female	EUR	GBR
HG00375	male	EUR	FIN
HG00690	female	EAS	CHS
HG00160	male	EUR	GBR
HG00382	male	EUR	FIN
HG00703	male	EAS	CHS
HG00177	female	EUR	FIN
HG00407	female	EAS	CHS
HG01061	female	AMR	PUR
HG00189	male	EUR	FIN
HG00306	female	EUR	FIN
HG01066	male	AMR	PUR
HG00235	female	EUR	GBR
