Sample	Gender	Pop
HG00171	female	EUR
HG00176	female	EUR
HG00183	male	EUR
HG00188	male	EUR
HG00190	male	EUR
HG00234	male	EUR
HG00239	female	EUR
HG00121	female	EUR
HG00126	male	EUR
HG00133	female	EUR
HG00138	male	EUR
HG00102	female	EUR
HG00107	male	EUR
HG00114	male	EUR
HG00119	male	EUR
HG00246	male	EUR
HG00253	female	EUR
HG00258	female	EUR
HG00260	male	EUR
HG00140	male	EUR
HG00145	male	EUR
HG00152	male	EUR
HG00157	male	EUR
HG00099	female	EUR
HG00479	female	EAS
HG00501	female	EAS
HG00513	female	EAS
HG00178	female	EUR
HG00525	female	EAS
HG00180	female	EUR
HG00532	male	EAS
HG00185	male	EUR
HG00537	female	EAS
HG00231	female	EUR
HG00366	male	EUR
HG00236	female	EUR
HG00373	female	EUR
HG00243	male	EUR
HG00378	female	EUR
HG00128	female	EUR
HG00380	female	EUR
HG00130	female	EUR
HG00405	female	EAS
HG00135	female	EUR
HG00544	female	EAS
HG00142	male	EUR
HG00551	female	AMR
HG00147	female	EUR
HG00556	male	EAS
HG00154	female	EUR
HG00582	female	EAS
HG00159	male	EUR
HG00304	female	EUR
HG00173	female	EUR
HG00309	female	EUR
HG00104	female	EUR
HG00311	male	EUR
HG00109	male	EUR
HG00323	female	EUR
HG00111	female	EUR
HG00328	female	EUR
HG00116	male	EUR
HG00330	female	EUR
HG00123	female	EUR
HG00429	male	EAS
HG00248	female	EUR
HG00436	male	EAS
HG00250	female	EUR
HG00443	female	EAS
HG00255	female	EUR
HG00448	male	EAS
HG00262	female	EUR
HG00450	female	EAS
HG00096	male	EUR
HG00474	male	EAS
HG00265	male	EUR
HG00272	female	EUR
HG00277	male	EUR
HG00284	male	EUR
HG00103	male	EUR
HG00553	male	AMR
HG00335	male	EUR
HG00108	male	EUR
HG00558	female	EAS
HG00342	male	EUR
HG00110	female	EUR
HG00560	female	EAS
HG00359	female	EUR
HG00115	male	EUR
HG00565	male	EAS
HG00361	female	EUR
HG00577	male	EAS
HG00594	male	EAS
HG00584	female	EAS
HG00599	female	EAS
HG00419	female	EAS
HG00607	male	EAS
HG00421	male	EAS
HG00638	female	AMR
